cluster_id,x,y,z,radius,label,inside_count,outside_count,points_in_cluster
94,-68.656845,280.08826,134.05011,11.445568,subtraction,15,1,16
95,-62.44222,286.33252,145.71046,7.909911,addition,2,6,8
96,-97.59829,251.3023,435.61285,12.332128,addition,0,17,17
97,-86.30326,251.14,455.74692,11.919623,addition,5,19,24
98,-87.80064,264.61133,386.4665,13.009796,addition,0,19,19
99,-85.31092,250.93785,362.57947,36.4032,subtraction,48,31,79
100,-100.921036,252.83589,402.90863,8.718453,addition,0,10,10
101,-99.90992,245.75337,380.95938,12.249254,addition,2,17,19
102,-86.671684,248.79387,337.1304,15.168251,subtraction,25,2,27
103,-71.238976,190.29149,256.44144,9.670127,addition,0,12,12
104,-62.638912,186.12306,223.54958,30.80075,addition,5,89,94
105,-67.728,196.7645,188.93832,11.261205,subtraction,11,4,15
106,-68.71888,191.70293,150.50784,17.916174,subtraction,34,14,48
107,-67.259224,179.69826,173.76883,14.50193,addition,0,27,27
108,-60.090534,270.24927,335.2087,11.266227,addition,0,14,14
109,-55.22364,259.4595,295.01797,8.916717,subtraction,6,4,10
110,-54.681793,262.87796,318.04578,8.381927,addition,1,7,8
111,-32.709805,219.45992,236.12366,25.286108,addition,13,57,70
112,-18.289427,213.57063,221.31155,20.403364,addition,0,37,37
113,-29.426632,212.85408,261.1518,13.130425,addition,0,18,18
114,-40.088795,207.55351,160.26239,13.833911,subtraction,11,6,17
115,-22.199976,203.75677,164.15314,9.330375,addition,0,9,9
116,-16.715475,207.35895,196.23444,9.780229,addition,0,11,11
117,-185.05705,221.02055,142.26816,13.341344,addition,0,14,14
118,-173.40999,218.09773,160.91977,9.7831955,addition,0,14,14
119,-181.3508,223.34248,81.33173,14.129487,subtraction,20,0,20
120,-175.0094,216.39067,60.648304,12.508088,subtraction,24,0,24
121,-234.26407,272.5239,395.78134,8.750035,addition,0,11,11
122,-245.84866,266.22684,377.72476,11.318756,addition,0,14,14
123,-224.67398,258.73123,374.32867,20.232653,addition,12,28,40
124,-236.12003,255.67006,342.33838,21.534557,subtraction,52,17,69
125,-249.68832,258.7824,397.75262,14.754187,addition,3,17,20
126,-226.305,247.53088,408.2031,18.400532,subtraction,19,15,34
127,-319.38837,113.39889,-31.032808,9.341819,addition,0,13,13
128,-320.14813,109.10109,108.7033,9.496761,addition,0,13,13
129,-101.77877,0.87493134,120.00502,11.069608,addition,0,17,17
130,-101.93954,-0.33149585,30.812517,13.817029,addition,13,15,28
131,-95.45598,-4.812021,99.278625,17.169237,addition,4,33,37
132,-95.11802,0.50348115,47.52128,8.272862,subtraction,5,4,9
133,-252.86603,123.90313,201.00317,11.315595,addition,0,18,18
134,-266.5069,123.03211,159.09814,14.67894,addition,1,22,23
135,-263.5716,110.91208,140.36191,11.867765,subtraction,10,3,13
136,-245.71971,112.94917,161.70392,15.031933,subtraction,25,1,26
137,-250.9269,107.72568,117.56222,9.10264,subtraction,9,0,9
138,-212.61855,124.73285,171.68661,9.958041,addition,0,14,14
139,-218.6134,131.52296,95.233345,17.315779,subtraction,24,3,27
140,-213.5862,122.33517,56.98302,11.687954,subtraction,16,0,16
141,-221.23918,125.94981,76.6274,8.591701,subtraction,7,0,7
142,-202.68323,115.0945,98.076,7.8577337,subtraction,7,0,7
143,-97.54499,3.6502724,71.04575,10.160878,subtraction,8,2,10
144,-92.56814,-5.1299267,5.0179667,9.628546,addition,3,16,19
145,-249.3224,185.35881,203.26917,8.354144,addition,0,12,12
146,-131.94397,139.02191,163.90341,6.3070083,addition,0,11,11
147,-131.90965,137.40738,50.40566,10.700537,subtraction,16,0,16
148,-37.488995,247.97577,178.85844,12.751407,subtraction,11,1,12
149,-22.942677,259.424,178.60526,9.397056,addition,0,10,10
